DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",MN,249,55344.51,24380.74,18895.97
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",NJ,251,112761.12,20956.69,18509.06
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",GA,256,67097.51,17579.43,15832.03
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",TN,258,70043.13,17094.49,13583.63
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",MO,265,67672.94,17451.45,15424.58
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",VA,270,80035.31,20001.92,15663.07
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",NC,308,64409.36,19901.64,16165.6
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",MA,316,72803.14,25356.71,22885.39
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",MI,340,53843.2,19958.56,16346.31
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",OH,352,78317.21,19423.15,15975.87
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",IL,356,87467.62,21735.66,16982.16
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",PA,482,122058.11,22692.73,17079.05
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",NY,491,75245.26,24194.79,20705.87
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",FL,641,107124.88,18337.95,15072.56
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",TX,703,91274.17,18040.19,14907.07
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",CA,773,158762.71,27450.68,23878.87
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",WY,13,28670.69,12385.92,8923.69
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",AK,14,64282.57,13826.43,12278.29
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",RI,14,32291.43,13156.86,11426.93
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",HI,15,43641.07,19231.67,12499.67
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",VT,20,34518.5,12930.45,11584.25
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",ND,31,28318.84,9631.55,8403.77
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NM,35,51483.14,11166.46,8377.34
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",DC,39,59161.95,14167.59,9114.51
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",DE,40,31379.5,11700.58,8616.35
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",SD,40,39301.5,10281.38,8479.25
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NH,41,37400.02,12703.1,10007.32
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MT,50,25289.48,9728.26,8549.82
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NV,51,60426.73,10326.27,8976.47
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",ID,61,37392.54,10436.93,8255.43
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",ME,70,31869.94,13268.49,9041.44
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",IA,83,40080.87,9959.14,7813.67
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NE,94,50624.57,11362.2,8996.66
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",WV,96,25175.48,9841.68,7802.29
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",UT,100,30744.97,11837.69,8638.51
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",KS,107,47048.95,9823.15,8080.07
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",CT,115,43096.47,15341.25,10382.24
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MS,125,38921.78,9040.61,7372.57
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",OK,127,47185.37,10518.32,7917.14
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",OR,136,38536.53,12714.78,10503.25
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",AR,147,37072.77,9348.59,7141.1
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",LA,151,46242.84,9939.32,7829.92
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",WI,152,39551.44,11661.11,8586.69
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MD,166,19075.75,17653.53,16003.51
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",SC,171,47621.33,10218.51,8134.79
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",AZ,187,61085,12064.72,10022.91
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MN,187,35984.89,12701.47,9893.61
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",CO,195,64708.06,10228.14,8507.59
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NJ,196,58184.19,11944.96,10134.38
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",IN,204,53316.63,10809.53,8624.71
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",KY,215,41854.96,10274.46,8120.63
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",AL,217,53541.56,9497.08,6927.88
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",TN,223,48408.44,9418.16,7611.45
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",WA,226,60659.66,14734.17,10101.26
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MA,230,39929.98,14894.21,11927.43
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MO,235,47458.42,10297.23,8289.48
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",IL,290,52330.21,12501.11,9079.16
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",MI,300,32904.03,11598.36,9133.84
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",VA,305,53574.5,11290.61,8566.38
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",GA,311,43192.68,9904.53,8275.6
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NC,312,38758.72,10728.71,8336.77
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",OH,320,50141.35,11690.44,8491.23
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",PA,437,65496.11,12573.7,9435.88
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",NY,458,43380.8,14916.36,11273.84
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",FL,604,67285.05,10429.24,8257.38
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",TX,681,58920.09,10297.83,7922.31
"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",CA,736,86778.33,15201.51,11996.76
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,VT,63,87043.75,44540.54,42413.33
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,AK,64,168221.83,54350.17,49707.14
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,WY,70,95955.27,45469.11,44234.64
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,HI,80,122452.24,50679.64,45436.16
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,DC,116,168239.37,47827.08,38453.88
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,RI,123,104974.98,40615.26,34329.35
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,ND,130,88504.02,36214.64,32512.96
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MT,140,80148.31,33085.83,31869.77
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,ID,148,104852.7,36819.2,32796.71
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,SD,165,117706.09,36789.75,33051.64
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,DE,167,97379.52,36953.65,33030.92
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NM,177,116115.12,39020.68,36459.94
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,UT,200,88546.39,35326.33,29313.23
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,ME,203,91618.75,36173.6,33372.39
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NH,212,111641.15,40547.23,36704.36
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NV,277,229072.04,37234.53,32456.83
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,WV,285,99062.32,33956.36,30453.12
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,OR,329,101012.35,40591.19,36885.15
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NE,333,120278.82,35395.23,32818.84
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,KS,390,139432.62,33206.59,31520.77
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,AR,416,111078.36,28906.63,26652.41
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,CT,445,127266.92,43499.78,38271.59
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,IA,452,102944.06,31806.15,28740.08
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,CO,464,157945.73,35129.7,32734.26
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MS,470,132522.98,29833.08,27792.21
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,OK,573,130494.65,33185.16,29435.66
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,LA,605,131953.88,31382.8,27956.48
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,AZ,677,160192.51,35356.86,32235.29
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MN,683,105024.97,41943.34,36572.26
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,SC,686,167614.66,34837.48,31325.71
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,WI,691,110041.58,37218.07,33429.87
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,WA,695,142030.83,40529.31,36235.23
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,KY,701,127299.92,35154.72,31054.98
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MD,736,49652.51,45849.68,43590.31
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,AL,829,148530.17,28934.7,26667.29
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,TN,879,119075.86,29460.3,26586.73
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MO,928,117853.26,31985,30090.7
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MA,934,90097.93,42596.72,39096.22
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,IN,975,122057.72,33849.05,30580.25
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,VA,1050,125566.71,34671.24,29835.78
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,GA,1076,130822.73,32942.81,30161.82
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NJ,1218,218017.42,38258.61,35071.53
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NC,1234,106791.94,34181.89,30472.38
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,MI,1407,97646.76,36560.69,32975.43
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,OH,1551,123541.08,34431.65,29643.76
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,PA,1588,168612.22,35565.55,30073.31
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,IL,1678,147753.92,35963.6,32400.39
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,NY,1933,152874.18,46443.23,41455.49
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,TX,2474,170575.28,33644.5,29908.27
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,CA,2577,274425.71,49352.35,44974.38
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,FL,2778,196325.23,32109.59,29409.78
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,WY,71,57393.18,23807.96,20283.42
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,AK,91,110243.99,26976.74,25413.58
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,VT,119,42927.28,21030.41,18915.39
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,HI,125,61377.03,27919.64,18715.9
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NM,174,66026.78,19776.82,17739.55
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,RI,175,52979.57,19880.63,17270.49
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,DC,179,88637.55,22234.65,17951.87
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,ND,186,41401.78,16470.27,14646.08
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MT,205,44123.8,16138.7,14770.8
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,SD,221,64766.65,17910.62,15466.94
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,ID,223,55945.43,16909.26,14747.71
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,DE,276,51808.04,18616.37,15770.06
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NH,286,61059.1,18928.94,16599.19
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NV,290,118905.13,18385.84,15666.4
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,ME,316,45966.5,18357.91,15073.61
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,UT,323,53574.58,18428.45,14950.67
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,WV,369,52544.93,16804.25,14249.73
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NE,407,67440.64,17445.88,15202.24
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,OR,480,61615.78,21067.53,17661.07
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,KS,613,73460.59,16115,14141.88
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,IA,622,54022.9,16192.34,14232.28
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,CO,626,89075.69,18044.88,15190.35
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,AR,642,55062.79,14847.66,12961.67
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,CT,672,64905.74,21554.8,18056.74
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MS,672,63914.51,14928.86,12951.34
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,LA,766,73189.19,16185.95,13299.04
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,OK,808,67733.01,16850.34,13615.54
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,KY,878,63176.68,16590.12,14119.72
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,WA,899,78962.81,19922.7,16827.6
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,SC,927,80799.67,16507.38,13965.45
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,WI,951,62008.1,18428.46,15355.55
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,AZ,956,84851.33,18325.75,15569.36
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MN,1059,53696.98,20682.46,17400.35
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,AL,1118,71798.84,14506.06,12257.52
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,TN,1126,62990.89,14975.32,12929.64
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MD,1193,27890.72,25814.74,23775.99
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,IN,1218,71281.79,16961.19,14392.38
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MO,1253,62062.56,16271.02,13972.64
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MA,1307,50373.42,22100.71,19567.66
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,VA,1423,70200.91,17163.87,13713.52
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,GA,1430,66997.29,16285.15,13895.6
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NJ,1633,114471.7,19511.36,16753.96
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,MI,1650,50639.54,18456.68,15620.61
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NC,1676,58809.33,17525.08,14357.43
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,OH,1971,67620.92,17639.57,14112.08
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,IL,2141,79865.64,18649.31,15318.65
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,PA,2269,92757.12,18873.67,14769.76
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,NY,2444,75210.39,22458.42,18970.29
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,TX,3254,86758.49,16922.09,13982.65
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,CA,3502,139365.31,23618.17,20328.94
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,FL,3616,110004.8,16637.61,13988.48
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,WY,36,41294.78,13795.69,12610.64
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,VT,42,26571.62,13984.19,12106.45
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,AK,52,70930.08,19561.44,14621.15
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,HI,57,39742.39,17782.33,13034.26
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,RI,57,40056.11,13949.04,11115.65
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,ND,90,31298.31,11993.98,8981.19
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MT,99,34684.36,10820.34,9477.38
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,DC,105,57366.71,14549.53,10536.33
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,ID,113,43430.59,11603.63,9180.06
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NM,114,43922.35,13428.82,10529.33
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,DE,121,36802.74,13060.93,9552.17
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,ME,123,33548.43,12103.21,9643.28
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NV,125,73664.61,12315.44,9834.62
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,SD,125,46083.83,11835.47,10100.71
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NH,139,46844.62,12510.87,10136.55
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,WV,151,35453.32,11146.71,8745.5
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,UT,156,32832.15,11987.87,9169.33
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NE,181,43324.92,11530.54,9090.46
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,OR,214,40433.66,13525.23,10851.01
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,KS,295,49230.45,10680.49,8783
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,AR,296,40279.26,9815.21,8247.67
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,IA,332,40116.49,10549.83,8533.7
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,LA,338,48125.05,11006.35,8152.28
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,CT,339,45712.86,14359.32,11674.57
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,CO,372,62257.01,12080.51,9259.93
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,WI,377,41562.88,11637.07,9603.16
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MN,383,37191.41,13614.96,10539.97
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MS,385,40438.3,9596.51,8057.01
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,KY,400,43408.87,11053.31,8593.27
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,AZ,411,62381.78,12159.57,9782.36
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,WA,413,55780.93,13444.23,10336.49
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,OK,420,46539.07,11422.05,8781.06
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MD,497,19868.98,18564.41,16112.85
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,SC,521,53681.63,10712.75,8707.13
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,AL,548,53391.65,9782.33,7762.38
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,IN,597,52538.84,11075.87,8908.82
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,TN,607,44937.83,10545.6,7890.3
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MA,642,33475.83,14890.6,12571.15
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MO,652,41939.12,10589.35,8816.41
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NJ,701,66734.85,13367.58,10653.45
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,MI,750,32900.47,12126.48,9717.65
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,GA,775,45947.51,10671.65,8890.04
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,IL,780,53330.69,12449.97,9766.67
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,VA,801,51832.73,11393.9,8771.8
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,OH,820,46992.32,11625.92,8922.43
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NC,842,41773.86,11559.71,8982.99
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,PA,987,59362.83,12581.28,9494.15
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,NY,1151,47250.74,15163.84,12096.91
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,CA,1529,92225.09,15863.08,12915.68
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,FL,1552,72822.94,10972.63,8736.02
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,TX,1683,59738.93,11287.36,8681.53
332 - RECTAL RESECTION W MCC,NE,13,107850.62,36273.69,25880
332 - RECTAL RESECTION W MCC,CT,15,107946.13,33038.2,31722.87
332 - RECTAL RESECTION W MCC,LA,15,133330.2,27569.67,25551.87
332 - RECTAL RESECTION W MCC,NV,16,175833.63,31839.56,30370.25
332 - RECTAL RESECTION W MCC,SC,16,147135.31,24978.88,23379.63
332 - RECTAL RESECTION W MCC,KS,17,171936.76,33177.24,31989.53
332 - RECTAL RESECTION W MCC,KY,18,161649.5,33832.33,30190.83
332 - RECTAL RESECTION W MCC,OK,18,135302.06,35040.61,33691.83
332 - RECTAL RESECTION W MCC,NC,21,99808.71,30254.14,27474.48
332 - RECTAL RESECTION W MCC,VA,21,95868.67,29611.1,25687.57
332 - RECTAL RESECTION W MCC,WI,21,116349,35489.29,31184.71
332 - RECTAL RESECTION W MCC,AR,22,103402.91,25939.23,24537
332 - RECTAL RESECTION W MCC,WA,22,134914.5,31890,30562.14
332 - RECTAL RESECTION W MCC,AL,23,125413.26,26697.91,23094.61
332 - RECTAL RESECTION W MCC,MA,25,84672.2,39548.92,37021.72
332 - RECTAL RESECTION W MCC,IN,26,112171.85,30177.15,27902.38
332 - RECTAL RESECTION W MCC,GA,27,117641.22,27044.48,25871.11
332 - RECTAL RESECTION W MCC,MN,27,109551.48,40896.78,30836.11
332 - RECTAL RESECTION W MCC,AZ,28,136444.21,31045.96,29463.57
332 - RECTAL RESECTION W MCC,MD,28,46533.11,43122.86,39704.07
332 - RECTAL RESECTION W MCC,MO,28,111372.14,28268.29,27079.75
332 - RECTAL RESECTION W MCC,TN,30,125667.57,29032.6,25695.43
332 - RECTAL RESECTION W MCC,PA,36,153097.86,33155.42,28110.72
332 - RECTAL RESECTION W MCC,OH,40,102595.53,31053.73,26480.4
332 - RECTAL RESECTION W MCC,MI,42,73501.88,33295.9,31522.21
332 - RECTAL RESECTION W MCC,NJ,45,188238.93,33803.33,31331
332 - RECTAL RESECTION W MCC,NY,52,123529.46,37836.62,34711.4
332 - RECTAL RESECTION W MCC,IL,61,131366.21,31632.57,28047.25
332 - RECTAL RESECTION W MCC,TX,81,171035.74,29501.37,26670.43
332 - RECTAL RESECTION W MCC,FL,84,185971.61,32000.7,27404.5
332 - RECTAL RESECTION W MCC,CA,110,320603.57,56335.07,53840.75
333 - RECTAL RESECTION W CC,DC,11,91732.64,19757.91,14145.27
333 - RECTAL RESECTION W CC,HI,13,53184,24980,19050.23
333 - RECTAL RESECTION W CC,NH,13,68748.69,23576.46,14251.38
333 - RECTAL RESECTION W CC,ME,15,47284.33,17954.4,13967.13
333 - RECTAL RESECTION W CC,MT,15,51123.4,16743.73,13454.73
333 - RECTAL RESECTION W CC,RI,15,44725.67,20546.07,15640.47
333 - RECTAL RESECTION W CC,SD,18,83408.39,21499.11,14699.94
333 - RECTAL RESECTION W CC,UT,19,46293.74,16855.95,13619.32
333 - RECTAL RESECTION W CC,ND,21,43956.19,16160.67,14454.33
