,DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments,Percent Actually Paid,Percent Covered by Medicare
9847,311 - ANGINA PECTORIS,TX,441,28190.92,4805.21,3425.87,0.8295475990141506,0.12152388073890459
9848,311 - ANGINA PECTORIS,FL,538,34413.18,4338.67,3076.22,0.8739241767253129,0.08939075086928902
9849,311 - ANGINA PECTORIS,NY,560,23314.4,6913.59,5472.23,0.7034626668496723,0.23471459698726962
9850,311 - ANGINA PECTORIS,CA,801,39375.99,6644.19,5331.61,0.8312629091992354,0.13540256384664867
9851,312 - SYNCOPE & COLLAPSE,AK,63,39694.46,8068.89,6997.25,0.7967250341735346,0.1762777475748505
9852,312 - SYNCOPE & COLLAPSE,WY,65,18063.83,6506.43,5078.86,0.6398089441718617,0.2811618577012737
9853,312 - SYNCOPE & COLLAPSE,HI,99,25690.81,8057.36,6324.7,0.6863718971881385,0.24618530906577096
9854,312 - SYNCOPE & COLLAPSE,MT,113,16046.01,5225.92,4070.8,0.6743165434896277,0.2536954669727864
9855,312 - SYNCOPE & COLLAPSE,VT,115,16667.3,6713.71,5554.13,0.5971927066771463,0.3332351370647916
9856,312 - SYNCOPE & COLLAPSE,ND,135,16559.81,5555.39,4045.4,0.6645257403315619,0.24429024246051131
9857,312 - SYNCOPE & COLLAPSE,SD,149,22701.67,5654.48,4457.01,0.7509222889769783,0.19632960923139137
9858,312 - SYNCOPE & COLLAPSE,ID,168,21836.6,5562.98,4471.84,0.7452451388952492,0.20478645943049745
9859,312 - SYNCOPE & COLLAPSE,UT,202,20815.89,5893.83,4234.63,0.7168590917803659,0.20343257002222823
9860,312 - SYNCOPE & COLLAPSE,NM,205,22867.44,5869.47,4579.01,0.7433263189932935,0.20024147871383943
9861,312 - SYNCOPE & COLLAPSE,DC,278,28083.59,7873.51,5615.7,0.7196401884516902,0.19996375107313558
9862,312 - SYNCOPE & COLLAPSE,RI,315,18827.26,6697.99,5465.32,0.6442397884769212,0.290287593627538
9863,312 - SYNCOPE & COLLAPSE,NH,334,20615.72,5350.34,4323.25,0.7404728042484086,0.20970647641702544
9864,312 - SYNCOPE & COLLAPSE,ME,344,16120.84,5633.35,4363.26,0.650554809798993,0.27065959342069024
9865,312 - SYNCOPE & COLLAPSE,DE,345,18129.94,6734.31,4597.29,0.628553100561833,0.2535744740467977
9866,312 - SYNCOPE & COLLAPSE,OR,417,20236.57,6787.96,5164.91,0.6645696380364855,0.25522655272113803
9867,312 - SYNCOPE & COLLAPSE,NE,427,21085.61,5576.49,4068.01,0.7355310090625787,0.19292825770750763
9868,312 - SYNCOPE & COLLAPSE,NV,468,47012.87,6158.15,4944.11,0.8690114004952261,0.10516503246876864
9869,312 - SYNCOPE & COLLAPSE,CO,564,34528.45,5919.31,4589.73,0.8285671670752669,0.1329260363555271
9870,312 - SYNCOPE & COLLAPSE,WV,600,17331.2,5437.3,3887.73,0.6862710025849336,0.2243197239660266
9871,312 - SYNCOPE & COLLAPSE,IA,604,19332.54,5385.15,4185.23,0.7214463283148516,0.2164862971963332
9872,312 - SYNCOPE & COLLAPSE,KS,663,28384.34,5001.28,3959.65,0.8238014341710957,0.13950121792509532
9873,312 - SYNCOPE & COLLAPSE,AZ,742,32566.54,5874.53,4627.56,0.8196145491661073,0.14209553732143482
9874,312 - SYNCOPE & COLLAPSE,AR,782,18890.32,4834.52,3640.02,0.7440742136713406,0.1926923418978609
9875,312 - SYNCOPE & COLLAPSE,OK,840,21644.18,5457.74,4138.24,0.747842607111935,0.19119412239225508
9876,312 - SYNCOPE & COLLAPSE,WI,847,22780.22,5683.54,4252.12,0.7505054823877908,0.18665842559905038
9877,312 - SYNCOPE & COLLAPSE,MN,911,19390.41,6240.9,4955.34,0.6781450211728375,0.25555622599006417
9878,312 - SYNCOPE & COLLAPSE,WA,975,27766.51,6174.61,4892.85,0.7776238353325643,0.17621407947919995
9879,312 - SYNCOPE & COLLAPSE,MS,978,22862.15,4862.22,3810.99,0.7873244642345536,0.16669429603077573
9880,312 - SYNCOPE & COLLAPSE,LA,1023,22419.87,5257.48,3959.61,0.7654990863015709,0.17661163958577816
9881,312 - SYNCOPE & COLLAPSE,CT,1038,23871.75,6811.14,5504.75,0.7146778095447548,0.23059683517127985
9882,312 - SYNCOPE & COLLAPSE,KY,1341,21311.77,5282.48,3969.15,0.7521332108970771,0.1862421563295775
9883,312 - SYNCOPE & COLLAPSE,SC,1437,27043.68,5283.93,3952.29,0.8046149784348875,0.14614468149305124
9884,312 - SYNCOPE & COLLAPSE,MO,1512,25046.5,5237.1,4092.91,0.7909049168546504,0.16341245283772182
9885,312 - SYNCOPE & COLLAPSE,TN,1724,23579.7,5034.48,3895.55,0.7864909222763649,0.16520778466223066
9886,312 - SYNCOPE & COLLAPSE,IN,1733,21852.38,5306.38,4109.42,0.7571715300575955,0.18805365822853162
9887,312 - SYNCOPE & COLLAPSE,AL,1745,24021.11,4607.3,3458.4,0.808197872621207,0.14397336342908384
9888,312 - SYNCOPE & COLLAPSE,NC,1852,20305.63,5638.5,4144.44,0.7223183915002883,0.20410300000541717
9889,312 - SYNCOPE & COLLAPSE,MD,1908,8506.03,7877.17,6822.56,0.07393108183253533,0.8020851090344144
9890,312 - SYNCOPE & COLLAPSE,GA,1983,24567.23,5415.01,4228.51,0.7795840231072042,0.1721199337491447
9891,312 - SYNCOPE & COLLAPSE,VA,2189,22582.79,5425.68,3832.81,0.7597427067248999,0.16972260734833913
9892,312 - SYNCOPE & COLLAPSE,MA,2465,14476.93,6826.95,5584.08,0.528425570891066,0.3857226635757719
9893,312 - SYNCOPE & COLLAPSE,OH,3003,22212.05,5596.69,4133.57,0.7480336123860698,0.18609583536864
9894,312 - SYNCOPE & COLLAPSE,NJ,3107,49346.82,6522.46,4985.7,0.8678241070042608,0.10103386601203482
9895,312 - SYNCOPE & COLLAPSE,IL,3319,26310.66,5850.27,4480.87,0.7776463988360611,0.17030625609543812
9896,312 - SYNCOPE & COLLAPSE,MI,3475,17585.33,5889.62,4622.05,0.6650833393516073,0.2628355566827577
9897,312 - SYNCOPE & COLLAPSE,PA,3709,30127.17,5969.84,4283.92,0.801845311059751,0.14219457054877707
9898,312 - SYNCOPE & COLLAPSE,TX,4983,35667.49,5632.67,4225.08,0.8420783183790057,0.118457452430771
9899,312 - SYNCOPE & COLLAPSE,CA,5319,48041.85,7728.87,6365.99,0.8391221403838528,0.13250926015546863
9900,312 - SYNCOPE & COLLAPSE,NY,7128,31031.55,8525.26,6861.86,0.7252712159076811,0.22112527411618174
9901,312 - SYNCOPE & COLLAPSE,FL,8762,37914.19,5219.79,4063.01,0.8623262161211936,0.10716330745823661
9902,313 - CHEST PAIN,HI,31,21084.52,7526.16,5478.87,0.6430480750806753,0.25985272607581295
9903,313 - CHEST PAIN,AK,32,28792.41,8042.53,6065.0,0.7206718715105822,0.2106457917208042
9904,313 - CHEST PAIN,WY,49,19860.14,5360.12,4167.57,0.7301066357034744,0.2098459527475637
9905,313 - CHEST PAIN,VT,54,15293.41,6356.43,4767.43,0.5843680382596164,0.3117310004766759
9906,313 - CHEST PAIN,MT,56,13771.46,4570.79,3609.61,0.6680969192808895,0.2621080117866951
9907,313 - CHEST PAIN,ND,85,12239.92,4470.51,3278.6,0.6347598677115537,0.2678612278511624
9908,313 - CHEST PAIN,ID,89,17724.46,4758.63,3590.03,0.731521863007392,0.20254665022234813
9909,313 - CHEST PAIN,SD,94,17751.2,5220.24,4101.14,0.7059218531704899,0.23103452160980667
9910,313 - CHEST PAIN,UT,100,18354.75,5575.08,3497.83,0.6962595513422956,0.1905681090725834
9911,313 - CHEST PAIN,DE,135,15285.5,5507.39,4026.48,0.6396984069870139,0.2634182722187694
9912,313 - CHEST PAIN,RI,149,16099.93,5857.89,4628.79,0.6361543186833732,0.2875037344882866
9913,313 - CHEST PAIN,DC,186,19121.13,7227.11,4963.33,0.6220354131790328,0.2595730482455796
9914,313 - CHEST PAIN,NM,188,20814.38,5303.04,4039.43,0.7452222934336742,0.19406919639210968
9915,313 - CHEST PAIN,ME,203,13422.67,4698.85,3677.42,0.6499317944939419,0.27397082696661695
9916,313 - CHEST PAIN,OR,224,19449.62,5838.51,4642.02,0.6998136724522124,0.23866893029272554
9917,313 - CHEST PAIN,NE,228,19226.47,4579.8,3324.29,0.7617971473702662,0.17290173391163327
9918,313 - CHEST PAIN,NH,286,21165.67,4639.94,3492.67,0.7807799138888587,0.1650158015314422
9919,313 - CHEST PAIN,CO,431,30667.3,5246.21,3990.71,0.8289314677196884,0.13012916037603572
9920,313 - CHEST PAIN,IA,454,15596.04,4701.48,3510.36,0.698546554125278,0.22508021266936992
9921,313 - CHEST PAIN,CT,466,19617.83,5957.03,4600.78,0.6963461300255942,0.23452033175942494
9922,313 - CHEST PAIN,AZ,529,26455.51,5308.66,4070.95,0.7993363197307479,0.15387909739785777
9923,313 - CHEST PAIN,MN,531,15715.92,5246.71,3998.11,0.6661531746152944,0.2543987243508493
9924,313 - CHEST PAIN,NV,535,43179.53,5546.76,4446.02,0.8715419088628338,0.10296591926776416
9925,313 - CHEST PAIN,WI,554,20315.99,4826.87,3578.18,0.7624102984890228,0.1761262926394431
9926,313 - CHEST PAIN,AR,559,17390.46,4169.47,3043.08,0.7602438348381814,0.17498559555066398
9927,313 - CHEST PAIN,KS,580,25154.13,4519.33,3261.56,0.8203344739015025,0.1296630016621525
9928,313 - CHEST PAIN,WV,613,15990.68,4694.37,3331.61,0.7064308709823472,0.2083469871199974
9929,313 - CHEST PAIN,WA,634,23559.07,5386.34,4081.65,0.7713687339950176,0.17325174550608322
9930,313 - CHEST PAIN,OK,760,20886.26,4814.18,3589.48,0.7695049281202091,0.17185843707777268
9931,313 - CHEST PAIN,MS,784,22657.59,4298.66,3200.05,0.8102772624979091,0.14123523287339917
9932,313 - CHEST PAIN,LA,838,20080.05,4673.88,3442.77,0.7672376313803999,0.17145226232006394
9933,313 - CHEST PAIN,SC,926,22460.75,4463.22,3201.68,0.8012880246652493,0.14254555168460536
9934,313 - CHEST PAIN,IN,1101,19074.09,4579.32,3468.25,0.7599193460867596,0.18183043070468893
9935,313 - CHEST PAIN,KY,1189,18848.53,4545.61,3359.64,0.7588347738523906,0.17824413893285046
9936,313 - CHEST PAIN,MO,1262,24356.78,4629.34,3497.34,0.8099362887869415,0.14358794553303025
9937,313 - CHEST PAIN,MA,1315,12889.14,5972.23,4874.66,0.5366463549934286,0.3781990109503039
9938,313 - CHEST PAIN,MD,1396,7355.29,6834.03,5724.34,0.0708687216955416,0.7782616321042406
9939,313 - CHEST PAIN,TN,1430,23218.74,4412.57,3269.41,0.8099565264954085,0.1408091050591031
9940,313 - CHEST PAIN,NC,1437,18350.11,4767.97,3427.83,0.7401666801997372,0.1868016050040027
9941,313 - CHEST PAIN,GA,1558,22575.97,4712.84,3575.81,0.7912452931147588,0.15839009353750913
9942,313 - CHEST PAIN,AL,1571,23157.82,4135.18,2949.89,0.8214348328124149,0.127382024732898
9943,313 - CHEST PAIN,VA,1607,22454.05,4565.8,3196.5,0.7966602906825272,0.14235739209630335
9944,313 - CHEST PAIN,NJ,1648,41696.93,5829.32,4351.15,0.8601978610895334,0.10435180719539783
9945,313 - CHEST PAIN,OH,1919,18355.03,4871.19,3527.38,0.734612800959737,0.192175114941245
9946,313 - CHEST PAIN,PA,2195,25154.92,5332.15,3816.75,0.7880275508727517,0.1517297610169303
9947,313 - CHEST PAIN,IL,2207,22551.26,5423.07,4009.52,0.7595225277878043,0.17779583047687803
9948,313 - CHEST PAIN,MI,2380,15026.24,5233.9,4009.49,0.6516826564729433,0.2668325542517622
9949,313 - CHEST PAIN,NY,4308,24132.24,7769.76,6254.16,0.6780340324810296,0.25916201728476096
9950,313 - CHEST PAIN,TX,4651,31528.5,4893.33,3615.33,0.8447966125886103,0.11466863314144346
9951,313 - CHEST PAIN,CA,5307,40437.42,6735.73,5487.58,0.8334282948813254,0.13570549258582768
9952,313 - CHEST PAIN,FL,7684,33682.04,4744.85,3522.7,0.859128188197627,0.10458689556808316
9953,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,AK,41,69495.1,21898.27,19295.22,0.6848947623645408,0.2776486399760559
9954,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,WY,42,40267.69,17545.24,15189.36,0.5642849142823937,0.37720961892773086
9955,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,VT,48,29626.06,16585.48,15350.08,0.44017260479456266,0.5181276214251912
9956,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,ND,79,31275.39,13319.03,11413.32,0.5741370451335699,0.3649297418833146
9957,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,ID,80,37588.16,13712.71,10882.39,0.6351853881647839,0.289516432834169
9958,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,SD,83,54907.59,14910.51,13275.13,0.7284435539786029,0.24177222129035347
9959,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MT,91,35246.48,12508.23,11656.87,0.645121158197925,0.3307243730437763
9960,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,HI,96,46365.77,19673.82,17719.03,0.5756822328195994,0.38215757012123386
9961,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,RI,97,43369.18,16734.94,15402.43,0.6141282818812807,0.3551469038612213
9962,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,ME,124,40424.4,14733.47,12645.47,0.6355302737950347,0.3128177536339438
9963,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NH,134,39920.05,13956.99,12542.87,0.6503764399092687,0.3141997567638317
9964,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,UT,145,43256.07,15196.81,12249.44,0.6486779774491765,0.283184302226254
9965,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NM,161,39457.84,14482.55,13159.45,0.6329614089367284,0.33350659843519065
9966,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,DE,169,39377.8,15389.53,13419.25,0.609182585111408,0.340782115811447
9967,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NE,224,48148.74,14509.39,11280.4,0.6986548349967205,0.23428235089848665
9968,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,DC,237,64101.21,18689.99,14701.73,0.708429996875254,0.22935183282811666
9969,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,OR,255,41316.76,16097.81,14565.61,0.6103806300397224,0.35253514554384224
9970,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,KS,276,58190.28,12569.55,11202.79,0.7839922749985049,0.19251995350426224
9971,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,IA,280,41973.66,13348.67,11303.63,0.6819750767505146,0.26930293903367014
9972,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,WV,288,32382.81,12888.01,10549.16,0.6020107581769464,0.3257641940276338
9973,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NV,329,107125.07,15694.26,13505.88,0.8534959183690616,0.12607581026551487
9974,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,CO,381,72310.14,14093.81,12608.33,0.8050922042192147,0.17436461884875343
9975,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,AR,399,41513.18,12139.21,10411.75,0.7075817848692874,0.2508058886358501
9976,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,OK,442,53884.18,13008.81,11117.7,0.7585783062858152,0.20632586410334167
9977,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,CT,451,53317.71,17182.48,14937.52,0.6777340962318148,0.2801605695368387
9978,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MS,510,47403.62,11794.52,10564.64,0.751189466120942,0.2228656798784565
9979,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,KY,593,48581.79,13305.83,11436.56,0.7261148673196274,0.23540837009093324
9980,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,WI,601,43996.93,14737.26,12177.42,0.6650389015779055,0.2767788570702547
9981,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,AZ,606,64074.91,14272.49,12738.7,0.7772530620799936,0.1988094872080195
9982,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,WA,627,53718.44,15184.71,13161.56,0.7173277928398517,0.24501009336831076
9983,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,AL,669,52449.2,12123.27,10128.83,0.7688569129748404,0.19311695888593153
9984,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MN,670,43418.04,17217.91,13581.0,0.6034388010145092,0.31279624782694015
9985,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,SC,674,55498.2,13039.79,10976.73,0.7650412085437005,0.19778533357838632
9986,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,LA,702,48609.95,13074.81,10979.27,0.7310260553652081,0.22586466351024845
9987,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MA,908,35804.07,17349.55,15460.99,0.515430787617162,0.43182213642192074
9988,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,IN,911,49677.07,13309.92,11777.62,0.7320711547601338,0.2370836283218797
9989,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MO,947,52745.93,13445.9,11995.72,0.7450817532272158,0.22742456147801354
9990,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MD,996,21735.75,20132.28,18534.13,0.07377109140471348,0.8527025752504515
9991,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,TN,1017,49009.05,12272.77,10895.66,0.7495815568757198,0.22231934714098722
9992,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,VA,1128,49957.09,13975.89,11351.82,0.7202421117803298,0.22723140999605862
9993,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,GA,1294,48801.52,13069.25,11776.73,0.7321958414410042,0.241318917935343
9994,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NJ,1314,98151.54,15783.53,13871.83,0.8391922327454058,0.141330742237972
9995,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NC,1330,40250.47,14488.85,11934.23,0.6400327747725679,0.296499146469594
9996,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,MI,1674,35981.8,14525.09,12756.5,0.5963211957156118,0.35452645504115965
9997,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,OH,1687,48613.2,14019.74,11606.82,0.7116063126887348,0.23875860877292587
9998,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,PA,1696,73454.1,15744.94,12402.88,0.7856492694076981,0.16885211308830955
9999,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,IL,1736,55391.33,14491.72,12458.31,0.7383756627616632,0.2249144405812245
10000,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,NY,2418,67320.41,20466.97,17770.08,0.6959767476163619,0.26396274175989126
10001,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,TX,3157,64305.1,13656.01,11691.39,0.7876372169547983,0.18181124047703837
10002,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,CA,3321,96151.92,19079.77,17141.24,0.8015664169784649,0.17827246715406206
10003,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,FL,3354,69666.05,12865.52,11231.62,0.8153258294391601,0.16122085291185592
10004,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,HI,18,21867.61,9783.83,8658.61,0.5525880514605849,0.39595593665700096
10005,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,AK,21,48591.1,12129.67,8580.1,0.7503725990973656,0.17657760371755324
10006,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,WY,23,22457.39,8657.57,7711.7,0.6144890390201176,0.34339253136718023
10007,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,ND,41,17681.0,6834.41,5435.37,0.6134602115264973,0.3074130422487416
10008,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,VT,49,17635.49,8336.08,7417.49,0.5273122550039722,0.4206001647813584
10009,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,SD,51,30020.35,7415.16,5919.51,0.7529955513510003,0.19718324403279777
10010,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MT,57,19308.21,7082.3,5437.37,0.6331974843861756,0.28160922219097473
10011,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,ID,58,25642.09,6971.26,5787.59,0.7281321452346514,0.22570664091733553
10012,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NM,72,21165.57,7400.24,6411.11,0.650364247218478,0.3029027803172794
10013,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,RI,86,24120.76,8704.38,7468.35,0.6391332611410254,0.3096233286181696
10014,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,ME,88,21947.43,7749.33,6248.47,0.646914012255649,0.28470167122073065
10015,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,DE,89,21054.3,8535.75,5857.9,0.5945840042176658,0.2782282004151171
10016,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,UT,92,27088.97,8388.55,6396.34,0.6903333718483944,0.23612341111529894
10017,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,DC,95,34185.32,9948.73,7077.49,0.7089765431477605,0.2070330188513666
10018,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NH,103,22526.18,7269.84,6279.31,0.6772715125245381,0.2787560962400194
10019,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NV,133,47710.11,7198.07,6210.64,0.8491290420416134,0.1301745059904494
10020,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NE,148,29104.46,7329.86,5776.13,0.7481533758056325,0.19846202265907012
10021,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,OR,149,22328.93,8393.13,6897.39,0.6241140977198639,0.3088992620783889
10022,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,IA,166,27381.21,7080.36,5758.48,0.7414153720744993,0.21030772562644237
10023,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,KS,173,32411.97,6740.6,5125.0,0.7920336221463861,0.1581205955700934
10024,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,WV,176,18779.94,6997.31,5365.07,0.6274050928810209,0.2856808914192484
10025,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,CO,243,38858.81,7341.84,5951.29,0.8110636944363453,0.15315162764891668
10026,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,AR,255,19503.67,5932.27,4976.07,0.6958382704383328,0.2551350591965512
10027,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,CT,270,27883.51,8943.61,7255.38,0.6792509264436221,0.26020325274687445
10028,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MS,280,23526.3,6143.24,5185.36,0.7388777665846308,0.2204069488189813
10029,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,OK,288,25985.26,6735.22,5416.63,0.74080613393901,0.20845009824800678
10030,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,WA,314,30213.38,8408.2,6577.29,0.721706078565192,0.21769461079826222
10031,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,AZ,315,35832.04,7715.61,6100.63,0.7846728793560177,0.1702562845989232
10032,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,WI,315,24289.73,7163.7,5502.31,0.7050728847130042,0.22652824877015926
10033,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,LA,342,26197.72,7071.94,5570.69,0.7300551345689625,0.21264026029746097
10034,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,SC,357,30482.56,6795.17,5349.02,0.7770800746394003,0.1754780438388377
10035,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,KY,367,25032.57,6654.97,5339.17,0.7341475525685137,0.21328892718566253
10036,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MN,394,23793.25,8272.84,6799.54,0.6523030691477625,0.2857760079014006
10037,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,AL,402,28379.66,6017.77,4812.96,0.7879548239830921,0.16959188376463988
10038,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,TN,461,25260.72,6753.91,5128.28,0.7326319281477329,0.20301400751839216
10039,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MO,487,26319.63,6746.66,5656.09,0.7436643296277341,0.21490005748561056
10040,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,IN,520,26121.13,6804.93,5515.11,0.7394856194965532,0.21113596540425317
10041,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,GA,540,27698.55,7045.57,5709.4,0.745633977229855,0.2061263134712828
10042,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MD,551,11947.16,11060.62,9943.39,0.0742050830490258,0.8322806424288283
10043,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,VA,568,24367.36,7034.62,5290.78,0.7113097192309713,0.21712569601302725
10044,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NC,604,23614.43,7661.96,5813.64,0.675539066579206,0.24619014729553076
10045,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MA,606,21737.14,9205.08,7837.88,0.5765275468621907,0.36057549429225744
10046,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NJ,645,53772.59,8207.11,6656.25,0.8473737270233775,0.12378518497993124
10047,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,MI,806,18848.57,7792.24,6225.14,0.5865872052893137,0.330271208903381
10048,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,OH,870,26398.81,7285.58,5729.08,0.7240186205363046,0.2170203884190234
10049,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,PA,909,36702.89,7913.51,5860.09,0.784390003076052,0.1596629039293636
10050,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,IL,923,32015.01,7829.67,6190.37,0.7554375275847173,0.19335836534175688
10051,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,NY,1245,35948.2,10168.98,8297.18,0.7171213023183358,0.23080933120434405
10052,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,CA,1356,57479.51,10046.58,8350.13,0.8252145851626084,0.14527141932838325
10053,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,TX,1410,36342.65,7202.97,5652.63,0.801803941099507,0.1555370893426869
10054,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,FL,1673,38464.29,6702.06,5389.67,0.8257589052079214,0.1401213957153505
10055,316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,ID,11,21380.45,4609.18,3648.45,0.7844208143420742,0.17064421001428873
10056,316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,MT,15,19890.07,5209.27,4076.67,0.7380969498850432,0.20496006298620367
10057,316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,ME,20,12721.15,4670.45,3645.3,0.632859450599985,0.28655428164906477
